HYPONYM|HYPERNYM|TEXT|LINK		
ПАРАЗИТОЛОГИЯ|наука изучающая паразитов|Паразитология  — биологическая наука, всесторонне изучающая паразитов, их взаимоотношения с хозяевами и окружающейсредой и разрабатывающая методы борьбы с паразитами и паразитарными болезнями.|https://dic.academic.ru/dic.nsf/enc_medicine/22418/Паразитология		
ПАРАЗИТОЛОГИЯ|наука |Паразитология — наука, исследующая паразитизм, включая паразитарные болезни, и разрабатывающая методы д-ки, терапии и профилактики паразитарных болезней животных, человека и растений.|https://dic.academic.ru/dic.nsf/dic_microbiology/2378		
ПАРАЗИТОЛОГИЯ|раздел зоологии|Паразитология — раздел зоологии, изучающий паразитов у человека, животных и растений, ихбиологические особенности, цикл размножения и развития, способы заражения и распространения.|https://dic.academic.ru/dic.nsf/ruwiki/38388		
ПАРАЗИТОЛОГИЯ|комплексная наука|Паразитология в широком смысле слова — комплексная наука, изучающая мир растительных и животных паразитов во всей сложности и разнообразии их взаимоотношений с хозяевами и внешними условиями. |http://www.spec-kniga.ru/zhivotnovodstvo/veterinarnaya-parazitologiya/veterinarnaya-parazitologiya-opredelenie-i-soderzhanie-parazitologii.html		
ПАРАЛЛЕЛЕПИПЕД|четырехсторонняя призма|Параллелепипед — четырехсторонняя призма, у которойпротивоположные стороны параллельны между собой.|https://dic.academic.ru/dic.nsf/dic_fwords/25911/ПАРАЛЛЕЛЕПИПЕД		
ПАРАЛЛЕЛЕПИПЕД|шестигранник|Параллелепипед — шестигранник,  каждая  пара  противоположных  гранейкоторого суть  параллелограммыравной  величины  и  параллельные  междусобой.|https://dic.academic.ru/dic.nsf/brokgauz/16086		
ПАРАЛЛЕЛЕПИПЕД|призма|Параллелепипед — призма, основанием которой служит параллелограмм, или многогранник, у которого шесть граней и каждая из них —параллелограмм.|https://ru.wikipedia.org/wiki/Параллелепипед		
ПАРАЛЛЕЛЕПИПЕД|геометрическая фигура|Параллелепипед — это геометрическая фигура, все 6 граней которой представляют собой параллелограммы.|https://karate-ege.ru/matematika/parallelepiped-osnovnye-svojstva-i-formuly.html		
ПАРАЛЛЕЛЕПИПЕД|объёмное тело|Параллелепипед — объёмное тело, все грани которого - параллелограммы.|https://mnogogranniki.ru/parallelepiped.html		
ПАРАФИРОВАНИЕ|проставление подписи|Парафирование — действие по значению гл. Парафировать	 проставление подписи на каком-либо документе	 предварительное подписание международного договора инициалами лиц, участвовавших в его разработке, в подтверждение предварительной договоренности (до официального подписания)|https://ru.wiktionary.org/wiki/парафирование
ПАРАФИРОВАНИЕ|процедура защиты документа|Парафирование договора — означает процедуру защиты документа от всевозможных изменений страниц одной из сторон, подписавших его, которые могут быть выгодны для каждого из участников заключаемой сделки. |https://50baksov.ru/parafirovanie-dogovora/		
ПАРАФИРОВАНИЕ|предварительное подписание договора |Парафирование — предварительное подписание договора (или его отдельных статей) инициалами уполномоченных.|https://dic.academic.ru/dic.nsf/dic_diplomatic/942/ПАРАФИРОВАНИЕ		
ПАРАФИРОВАНИЕ|форма подтверждения|ПАРАФИРОВАНИЕ — форма подтверждения согласия с выработанным в результате переговоров текстом договора путемнанесения представителями сторон своих инициалов в конце текста, а иногда на каждой его странице.|https://dic.academic.ru/dic.nsf/dic_economic_law/10426/ПАРАФИРОВАНИЕ		
ПАРАФИРОВАНИЕ|подписание|Парафирование — это подписание каждого листа договора лицом, уполномоченным подписать договор в целом, н-р, ген.дир.|http://forum.yurclub.ru/index.php?showtopic=63025		
ПАРАШЮТИЗМ|вид авиационного спорта|ПАРАШЮТИЗМ — вид авиационного спорта, включающий теорию и практику прыжков с парашютом с летательных аппаратов (самолета, аэростата и др.), соревнования на точность приземления, с задержкой раскрытия парашюта, с выполнением комплекса акробатических фигур и т. П.|https://noun_ru.academic.ru/6806/парашютизм		
ПАРАШЮТИЗМ|парашютный спорт|ПАРАШЮТИЗМ — теория и практика применения парашюта	 парашютный спорт. |https://gallicismes.academic.ru/28272/парашютизм	
ПАРАШЮТИЗМ|применение парашютов|Парашютизм — один из видов авиационного спорта, связанный с применением парашютов.|https://ru.wikipedia.org/wiki/Парашютизм		
ПАРАШЮТИЗМ|прыжки с парашютом|Парашютизм — это экстремальный вид спорта – прыжки с парашютом, который на сегодняшний день приобрел массовое значение. Совершить прыжок с парашютом является заветной мечтой многих, и для того, чтобы решиться на то, чтобы воплотить ее в жизнь, необходимо узнать все об этом виде спорта и поведении во время прыжка.|http://rostrek.com/ekstremalnyj-vid-sporta-pryzhki-s-parashyutom/		
ПАРАШЮТИЗМ|спортивная дисциплина|Парашютизм — вид авиационного спорта, спортивная дисциплина, в которой человек, экипированный парашютом, отделяется от летательного аппарата (самолета, аэростата и т.п.) и в воздухе в свободном падении и в падении / планировании под куполом парашюта выполняет ряд движений (комплекс акробатических фигур и т.п.), с последующим приземлением. Для успешного приземления спортсмену необходим парашют. |https://kombat.com.ua/parashyutnyiy-sport-istorii-parashyuta-pervyie-pryizhki-parashyutom/		
ПАРЕО|предмет женской одежды|Парео — предмет женской одежды, прямоугольный отрез ткани, подвязываемый на бёдрах в виде юбки, под мышками в виде платья или иным образом.|https://ru.wikipedia.org/wiki/Парео		
ПАРЕО|женский пляжный костюм|В настоящее время парео часто входят в — женский пляжный костюм.|https://ru.wikipedia.org/wiki/Парео		
ПАРЕО|отрез ткани|Парео — это квадратный или прямоугольный отрез ткани, очень большой платок из легкого материала – газа, шифона, тонкого льна, хлопка, шелка. |https://e-w-e.ru/vyibiraem-pareo-dlya-plyazha-samyie-modnyie-tsveta-sezona-i-kak-ego-nosit/		
ПАРЕО|изобретение моды|На сегодняшний день парео считается самым универсальным — изобретением моды. |http://wlooks.ru/kupalniki/pareo/		
ПАРЕО|наряд для пляжа|Парео — это самый удобный наряд для пляжа.|http://wlooks.ru/kupalniki/pareo/		
ПАРКОВЩИК|человек|ПАРКОВЩИК — человек, занимающийся паркованием автомобилей на автостоянке, расставляющий их по местам|https://ru.wiktionary.org/wiki/парковщик		
ПАРКОВЩИК|работник автостоянки|ПАРКОВЩИК — это работник автостоянки.|https://ru.wiktionary.org/wiki/парковщик		
ПАРКОВЩИК|работник парковочной стоянки|ПАРКОВЩИК — работник парковочной стоянки, организующий парковку гостевых автомобилей на специально отведенной территории. |https://vocable.ru/termin/parkovschik.html		
ПАРКОВЩИК|служащий|Парковщик относится к категории служащих и непосредственно подчиняется.|http://base.garant.ru/55725039/		
ПАРКОВЩИК|менеджер|Парковщик — менеджер по контролю за соблюдением правил парковки транспортных средств. |https://www.kommersant.ru/doc/317485		
ПАРКОМЕСТО|парковочное место|Чтобы дать женщинам возможность чувствовать себя более защищёнными, владельцы автомобильных стоянок устраивали дополнительное освещение специальных парковочных мест, организовывали видеонаблюдение и помечали паркоместа, расположенные ближе к выходу, специальными знаками.|https://ru.wikipedia.org/wiki/Парковка_для_женщин		
ПАРКОМЕСТО|гараж|Где найти, как и почем приобрести такое пристанище — паркоместо в паркинге или гараж.|https://www.prostobank.ua/finansovyy_gid/byudzhet/stati/kupit_parkomesto_ili_garazh_sposoby_mesta_tseny_kredity		
ПАРКОМЕСТО| в паркингах|На основании информации с указанных сайтов можно заключить, что паркоместа в паркингах Киева на середину мая 2010 года стоят 15-45 тысяч долларов в случае инвестирования в строящийся объект, 30-60 тысяч долларов при покупке паркоместа в готовом объекте.|https://www.prostobank.ua/finansovyy_gid/byudzhet/stati/kupit_parkomesto_ili_garazh_sposoby_mesta_tseny_kredity		
ПАРКОМЕСТО|недвижимость|Слишком слаболиквидной недвижимостью являются паркоместа и, тем более, гаражи, чтобы банки брали их в залог.|https://www.prostobank.ua/finansovyy_gid/byudzhet/stati/kupit_parkomesto_ili_garazh_sposoby_mesta_tseny_kredity		
ПАРКОМЕСТО|на стоянке|В частности, крупнейшим украинским интернет-стендом объявлений о продаже и аренде гаража и паркоместа на стоянке или в паркинге являются порталы «Авизо-Авто» http://auto.aviso.ua/ и других изданий группы «Авизо».|https://www.prostobank.ua/finansovyy_gid/byudzhet/stati/kupit_parkomesto_ili_garazh_sposoby_mesta_tseny_kredity		
ПАРКУР| скоростное перемещение препятствий |Паркур — скоростное перемещения и преодоления препятствий с использованием прыжковых элементов, как правило, в городских условиях.|https://ru.wikipedia.org/wiki/Паркур		
ПАРКУР|дисциплина|Паркур — дисциплина, представляющая собой совокупность навыков владения телом, которые в нужный момент могут найти применение в различных ситуациях человеческой жизни. |https://ru.wikipedia.org/wiki/Паркур		
ПАРКУР|перемещаться|Паркур — искусство свободно перемещаться сквозь окружающее пространство в любых обстоятельствах и на любом рельефе.|https://ru.wikipedia.org/wiki/Паркур		
ПАРКУР|уличный вид спорта|Паркур — это молодёжный уличный вид спорта, основым элементом которого является эффектное и быстрое преодоление препятствий в городской среде, без каких-либо вспомогательных приспособлений. |https://chto-eto-takoe.ru/parkour		
ПАРКУР|совокупность препятствий|ПАРКУР — совокупность препятствий, расположенных на площадке для соревнований по их преодолению.|https://horse_breeding_directory.academic.ru/829		
ПАРОДОНТОЗ|заболевание|Пародонтоз — это хроническое заболевание, поражающее ткани пародонта.|https://medlineservice.ru/uslugi/stomatologiya/parodontoz		
ПАРОДОНТОЗ|стоматологическая патология|Пародонтоз — это стоматологическая патология, в основе которой лежит атрофически-дистрофический процесс в тканях пародонта, охватывающих область одного или нескольких зубов. |https://medlineservice.ru/uslugi/stomatologiya/parodontoz		
ПАРОДОНТОЗ|деструктивный процесс|Пародонтоз — это хронический деструктивный процесс, который локализируется в тканях пародонта. |https://www.medkompas.ru/about-health/diseases/parodontoz/		
ПАРОДОНТОЗ|заболевание десен|Пародонтоз — это заболевание десен, которое характеризуется системным поражением тканей пародонта (десна, кость и связка зуба) и отсутствием воспалительного процесса.|http://mkeramika.com.ua/parodontoz/		
ПАРОДОНТОЗ|поражение пародонта|Пародонтоз — невоспалительное поражение пародонта, в результате которого зубы теряют прочную связь с тканями десны и могут выпасть.|https://aif.ru/boostbook/parodontoz.html		
ПАРОМЩИК|водитель парома|Паромщик — устаревшее название владельца или водителя парома.|https://ru.wikipedia.org/wiki/Паромщик		
ПАРОМЩИК|перевозчик|ПАРОМЩИК — перевозчик на пароме. Маяковцы, объехав хутор и спустившись к Кубани, вызывают паромщика, задремавшего на том берегу.|https://kartaslov.ru/значение-слова/паромщик		
ПАРОМЩИК|работник|ПАРОМЩИК — работник, перевозчик на пароме |https://www.vedu.ru/expdic/21886/		
ПАРОМЩИК|хозяин парома|ПАРОМЩИК — содержатель, хозяин парома или рабочий при нем, перевозчик.|https://dic.academic.ru/dic.nsf/sea/6290		
ПАРОМЩИК|профессия|ПАРОМЩИК — человек, профессия которого перевозка людей и грузов на пароме. |https://noun_ru.academic.ru/6828/паромщик		
ПАРТНЕРКА|партнёрская программа |Партнёрская программа или партнёрка — форма делового сотрудничества между продавцом и партнёрами, при продаже какого-либо товара или предоставления услуг. |https://ru.wikipedia.org/wiki/Партнёрская_программа		
ПАРТНЕРКА|форма делового сотрудничества|Партнёрская программа или партнёрка — форма делового сотрудничества между продавцом и партнёрами, при продаже какого-либо товара или предоставления услуг. |https://ru.wikipedia.org/wiki/Партнёрская_программа		
ПАРТНЕРКА|заключить|Барнаул — первый город проекта, заключивший партнёрку с программой молодёжных обменов и стажировок Aiesec.|https://ru.wikipedia.org/wiki/Улица_Искусств		
ПАРТНЕРКА|способ получения дохода|Партнерки — это достаточно универсальный способ получения дохода.|https://ktonanovenkogo.ru/zarabotok_na_saite/monetizaciy/monetizaciya-sajta-chast2.html		
ПАРТНЕРКА|привлечение|Например, многие биржи для вебмастеров имеют свои собственные партнерки, рассчитанные на привлечение новых пользователей (ваших потенциальных рефералов, на которых можно заработать денежку). |https://ktonanovenkogo.ru/zarabotok_na_saite/monetizaciy/monetizaciya-sajta-chast2.html		
ПАРТСПИСОК|список|Партсписок — партийный список|https://sokrasheniya.academic.ru/62791/партсписок		
ПАРТСПИСОК|квинтэссенция автива|Партийный список — это квинтэссенция партийного актива|https://avestnik.kz/kommunisty-utverdili-partspisok/		
ПАРТСПИСОК|список кандидатов|ПАРТСПИСОК — список кандидатов в депутаты от какой-либо партии на выборах|https://kartaslov.ru/значение-слова/партсписок		
ПАРТСПИСОК|выборы|В партсписок на выборы в Ил Тумэн войдут Виктор ГУБАРЕВ, Савва МИХАЙЛОВ и Надежда АНДРОСОВА (АНАБАРСКАЯ).|https://sakhalife.ru/sensacionnyiy-partspisok-kprf-na-vyiboryi-v-il-tumen/		
ПАРТСПИСОК|партия|По данному вопросу ЦИК дает разъяснение о том, что если кандидат в депутаты мажилиса по списку политической партии, являющийся должностным лицом госоргана, желает проводить предвыборную агитацию в пользу включившей его в свой партсписок партии, то ему необходимо выйти в очередной отпуск либо в отпуск без содержания"", - пояснил он.|https://online.zakon.kz/Document/?doc_id=30111945"		
ПАСПОРТИСТКА|должностное лицо|Паспортистка — ПАСПОРТИСТ, - должностное лицо, ведающее оформлением, выдачей паспортов|https://dic.academic.ru/dic.nsf/ogegova/152074		
ПАСПОРТИСТКА|работница|Паспортистка — Работница паспортного отдела	 должностное лицо, занимающееся пропиской паспортов.|https://sovdep.academic.ru/2641	
ПАСПОРТИСТКА|работница паспортного стола |У меня вопрос: зачем брать у паспортистки - работницы паспортного стола форму N 17 для того же паспортного стола?|https://www.norma.uz/gazeta_norma/hojdenie_po_mukam_za_pasportom		
ПАСПОРТИСТКА|служащий|Паспортист, петерб. Служащий в полицейском участке и занимающийся пропискою паспортов (Наумов). |https://povto.ru/russkie/slovari/tolkovie/dal/dal-tolkovii-slovar-bukva-p.htm		
ПАСПОРТИСТКА|она|Подлинник отдать паспортистке, а она подпишет копию	 далее эту копию надо заверить в ТЧСЖ.|https://www.norma.uz/gazeta_norma/hojdenie_po_mukam_za_pasportom	
ПАССАТИЖИ|плоскогубцы|Универсальные клещи, объединяющие в себе плоскогубцы, кусачки, отвертку и т.п.|http://что-означает.рф/пассатижи		
ПАССАТИЖИ|кусачки|Универсальные клещи, объединяющие в себе плоскогубцы, кусачки, отвертку и т.п.|http://что-означает.рф/пассатижи		
ПАССАТИЖИ|отвертки|Универсальные клещи, объединяющие в себе плоскогубцы, кусачки, отвертку и т.п.|http://что-означает.рф/пассатижи		
ПАССАТИЖИ|комбинированные щипцы|ПАССАТИЖИ — комбинированные щипцы, объединяющие в себе плоскогубцы, кусачки, отвертку и другие инструменты.|https://kartaslov.ru/значение-слова/пассатижи		
ПАССАТИЖИ|инструмент|Пассатижи — многофункциональный ручной слесарно-монтажный инструмент, предназначенный для зажима и захвата труб и деталей разных форм.|https://kartaslov.ru/значение-слова/пассатижи		
ПАСТИЛА|кондитерское изделие|Пастила — кондитерское изделие из фруктовой массы и сахара, обычно с добавлением яичных белков.|http://что-означает.рф/пастила		
ПАСТИЛА|тестообразный вид|Пастила — кондитерское изделие тестообразного вида из протертых, сваренных с сахаром фруктов (обычно сбиваемых с яичным белком).|http://что-означает.рф/пастила		
ПАСТИЛА|различные фрукты|ПАСТИЛА — (фр. Pastille, от лат. Pastillus лепешечки). Различные фрукты, протертые и сваренные густо с сахаром или патокою, уложенные слоями и подсушенные слегка. |https://dic.academic.ru/dic.nsf/dic_fwords/26328/ПАСТИЛА		
ПАСТИЛА|род сластей |Пастила (пастилы, мн. Пастилы, ж.) — род сластей тестообразного вида из сваренных с сахаром и протертых фруктов.|https://dic.academic.ru/dic.nsf/dic_fwords/26328/ПАСТИЛА		
ПАСТИЛА|кушанье|ПАСТИЛА — Кушанье, представляющее собой небольшие брусочки из протертых и сваренных с сахаром фруктов (обычно с добавлением взбитых яичных белков), высушенных в духовом шкафу, употребляемое в пищу в качестве сладкого блюда.|https://noun_ru.academic.ru/6858/пастила		
ПАСТОРАЛЬ| европейское искусство|Пастораль — В европейском искусстве 14-18 вв.: драматическое или музыкальное произведение, идиллически изображающее жизнь пастухов и пастушек на лоне природы|http://что-означает.рф/пастораль		
ПАСТОРАЛЬ|произведение искусства|Пастораль — Произведение искусства или его часть, идиллически изображающие сцены сельской и пастушеской жизни.|http://что-означает.рф/пастораль		
ПАСТОРАЛЬ|жанр|Пастораль — жанр в литературе, живописи, музыке и в театре, поэтизирующий мирную и простую сельскую жизнь.|https://kartaslov.ru/значение-слова/пастораль		
ПАСТОРАЛЬ|произведение|ПАСТОРАЛЬ — Произведение (преимущ. Драматическое), идиллически изображающее простую пастушескую жизнь (истор. Лит.).|https://kartaslov.ru/значение-слова/пастораль		
ПАСТОРАЛЬ|музыкальное произведение|ПАСТОРАЛЬ — Музыкальное произведение идиллического характера с преобладанием сельских мелодий (муз.).|https://kartaslov.ru/значение-слова/пастораль		
ПАТОФИЗИОЛОГИЯ|предмет|Изучение фундаментальных предметов — фармакологии, патофизиологии и патанатомии — сочеталось с работой в терапевтической и хирургической клиниках.|https://kartaslov.ru/значение-слова/пастораль		
ПАТОФИЗИОЛОГИЯ|учение о болезненных явлениях|В общих чертах патофизиологию можно определить как учение о болезненных явлениях или науку о жизнедеятельности больного организма.|http://www.studmedlib.ru/ru/doc/ISBN9785970429037-0002.html		
ПАТОФИЗИОЛОГИЯ|науку о жизнедеятельности больного организма|В общих чертах патофизиологию можно определить как учение о болезненных явлениях или науку о жизнедеятельности больного организма.|http://www.studmedlib.ru/ru/doc/ISBN9785970429037-0002.html		
ПАТОФИЗИОЛОГИЯ|наука|Патофизиология как наука официально существует около 250 лет. |http://www.studmedlib.ru/ru/doc/ISBN9785970429037-0002.html		
ПАТОФИЗИОЛОГИЯ|система медицинского образования|Изменялись определение и роль патофизиологии в системе медицинского образования и науки, однако потребность в ней сохранялась всегда. |http://www.fesmu.ru/elib/Article.aspx?id=36909		
ПАТРОННИК|участок канала ствола|Патронник — участок канала ствола, в котором размещается патрон.|https://ru.wikipedia.org/wiki/Патронник		
ПАТРОННИК|часть канала |Патронник — задняя, слегка расширенная часть канала ствола огнестрельного оружия, куда вводится патрон 1 N1|http://что-означает.рф/патронник		
ПАТРОННИК|задняя часть канала ствола|Патронник — Задняя часть канала ствола в огнестрельном оружии, предназначенная для помещения патрона (2*1).|http://что-означает.рф/патронник		
ПАТРОННИК|куда вводится патрон|Патронник — Задняя, слегка расширенная часть канала ствола огнестрельного оружия, куда вводится патрон.|http://что-означает.рф/патронник		
ПАТРОННИК|казенная часть ружейного ствола|ПАТРОННИК — Казенная (задняя) часть ружейного ствола, предназначенная для вкладывания патрона (см. Патрон2 в 1 знач.). 2. Палочка, на к-рую накручивают бумагу для придания ей формы патрона (см. Патрон2 в 6 знач.).|https://kartaslov.ru/значение-слова/патронник		
ПАХТА| обезжиренный молочный продукт|Пахта — обезжиренный молочный продукт, получаемый после сбивания масла|http://что-означает.рф/пахта		
ПАХТА|жидкость|Пахта — Жидкость, остающаяся при сбивании масла.|http://что-означает.рф/пахта		
ПАХТА|обезжиренные сливки|П?хта (пахтанье) — обезжиренные сливки, побочный продукт, получаемый при производстве масла из коровьего молока.|https://ru.wikipedia.org/wiki/Пахта		
ПАХТА|ингредиент для ирландского хлеба|Пахта — традиционный ингредиент для ирландского хлеба на соде, её часто используют в выпечке кексов.|https://ru.wikipedia.org/wiki/Пахта		
ПАХТА| молочный продукт|Пахта — полезный, диетический и низкокалорийный молочный продукт. |https://www.iamcook.ru/showrecipe/9082		
ПАЯЛЬНИК|инструмент|ПАЯЛЬНИК — инструмент с нагреваемым наконечником, позволяющим плавить легкоплавкие металлы|https://kartaslov.ru/значение-слова/паяльник		
ПАЯЛЬНИК|ручной инструмент|Паяльник — ручной инструмент, применяемый при лужении и пайке для нагрева деталей, флюса, расплавления припоя и внесения его в место контакта спаиваемых деталей.|https://ru.wikipedia.org/wiki/Паяльник		
ПАЯЛЬНИК|устройство|Паяльник — это достаточно простое, удобное и эффективное устройство. |https://tehpribory.ru/glavnaia/instrumenty/paialnik.html		
ПАЯЛЬНИК|кусок меди|ПАЯЛЬНИК — Заостренный кусок меди на длинной ручке, к-рым наносят расплавленное олово на спаиваемые части чего-н.|https://kartaslov.ru/значение-слова/паяльник		
ПАЯЛЬНИК|рабочая часть|Обычный паяльник — это рабочая часть, заключённая в деревянную или пластиковую ручку.|https://www.penza-press.ru/pokypka_impylcnogo_payalnika.dhtm		
ПЕЛЕНГ|угол|Пеленг — угол между направлением стрелки компаса и направлением, по которому виден наблюдаемый предмет или слышен звук.|http://что-означает.рф/пеленг		
ПЕЛЕНГ|строй кораблей|Пеленг — строй кораблей (летательных аппаратов) при котором все они располагаются на линии (пеленге), проходящей под углом к курсу уравнителя (ведущего)	|https://kartaslov.ru/значение-слова/пеленг	
ПЕЛЕНГ|направление|ПЕЛЕНГ — Направление, по к-рому виден предмет или слышен звук и к-рое определяется углом, отсчитанным от направления магнитной стрелки компаса.|https://kartaslov.ru/значение-слова/пеленг		
ПЕЛЕНГ|навигация|Пеленг (навигация) — угол между северной частью меридиана наблюдателя и вертикальной плоскостью, проходящей через точку наблюдения и наблюдаемый объект.|https://ru.wikipedia.org/wiki/Пеленг		
ПЕЛЕНГ|азимут|ПЕЛЕНГ — Навигационное название азимута|https://kartaslov.ru/значение-слова/пеленг		
ПЕЛЕНГАТОР|прибор|ПЕЛЕНГАТОР — Прибор для пеленгации. Звуковой пеленгатор. Оптический пеленгатор. ? Я бросился к пеленгатору. Нужно было побыстрей определиться и заметить новые компасные пеленги приметных мест. Чернышев, На морском охотник|https://kartaslov.ru/значение-слова/пеленгатор		
ПЕЛЕНГАТОР|определения местонахождения|пеленгатор — Прибор для пеленгации, для определения местонахождения какого-л. объекта.|http://что-означает.рф/пеленгатор		
ПЕЛЕНГАТОР|алидада|Пеленгатор — прибор, установленный на компасе, служащий для взятия пеленгов или направлений на земные предметы или небесные светила. Старое название — алидада.|https://ru.wikipedia.org/wiki/Морские_термины#П		
ПЕЛЕНГАТОР|визир|ПЕЛЕНГАТОР — особый визир, помещаемый на крышке котелка компаса и служащий для определения компасных направлений (компасных пеленгов) на различные видимые с судна предметы. |https://dic.academic.ru/dic.nsf/sea/6376/ПЕЛЕНГАТОР		
ПЕЛЕНГАТОР|угломерный инструмент|ПЕЛЕНГАТОР — Угломерный инструмент, состоящий из круга, разделенного на градусы, с двумя подвижными мишенями, служить вспомогателем при пеленговании.|https://dic.academic.ru/dic.nsf/dic_fwords/26672/ПЕЛЕНГАТОР		
